project_id,period_end,PV,EV,AC,CPI,SPI,CV,SV,ml_risk
P019,2023-06-30 22:40:48.374813,,14961.871013313801,292965.585,0.05107040478257472,,-278003.7139866862,,0.521911277369584
P019,2023-07-31 22:40:48.374813,15987.163202463431,7993.5816012317155,105179.34000000001,0.07599954136650519,0.5,-97185.75839876829,-7993.5816012317155,0.7332002522484221
P019,2023-08-31 22:40:48.374813,,0.0,3632.5,0.0,,-3632.5,,0.55
P019,2023-09-30 22:40:48.374813,,0.0,11473.04,0.0,,-11473.04,,0.55
P019,2023-10-31 22:40:48.374813,,0.0,18430.0,0.0,,-18430.0,,0.55
P019,2023-11-30 22:40:48.374813,14238.9998,0.0,,,0.0,,-14238.9998,0.45
P019,2023-12-31 22:40:48.374813,,0.0,48447.01499999999,0.0,,-48447.01499999999,,0.55
P019,2024-01-31 22:40:48.374813,,0.0,16222.5,0.0,,-16222.5,,0.55
P019,2024-02-29 22:40:48.374813,,0.0,7230.0,0.0,,-7230.0,,0.55
P019,2024-03-31 22:40:48.374813,,0.0,1180.15,0.0,,-1180.15,,0.55
P019,2024-04-30 22:40:48.374813,,0.0,36108.2,0.0,,-36108.2,,0.55
P019,2024-05-31 22:40:48.374813,,0.0,141962.25,0.0,,-141962.25,,0.55
P019,2024-06-30 22:40:48.374813,,0.0,11791.5,0.0,,-11791.5,,0.55
P019,2024-07-31 22:40:48.374813,,0.0,25880.0,0.0,,-25880.0,,0.55
P019,2024-08-31 22:40:48.374813,6319.444444444444,18200.0,1359.33,13.388948967506051,2.88,16840.67,11880.555555555555,0.0
P019,2024-09-30 22:40:48.374813,10050.0,8291.25,42014.909999999996,0.19734065835199935,0.825,-33723.659999999996,-1758.75,0.5202126379064004
P019,2024-10-31 22:40:48.374813,3750.0,3375.0,12881.8,0.26199754692667176,0.9,-9506.8,-375.0,0.45090134919033054
P019,2024-11-30 22:40:48.374813,18632.8125,22359.375,6981.2,3.20279822953074,1.2,15378.175,3726.5625,0.0
P019,2024-12-31 22:40:48.374813,1456.0,58.24,614.9000000000001,0.09471458773784354,0.04,-556.6600000000001,-1397.76,0.9299069767441861
P019,2025-01-31 22:40:48.374813,4748.75,4748.75,27660.31,0.17168101152879342,1.0,-22911.56,0.0,0.45557544365916364
P019,2025-02-28 22:40:48.374813,,0.0,2117.6,0.0,,-2117.6,,0.55
P019,2025-03-31 22:40:48.374813,3000.0,3000.0,4579.8099999999995,0.6550490085833256,1.0,-1579.8099999999995,0.0,0.18972304527917094
P019,2025-04-30 22:40:48.374813,,0.0,14753.119999999999,0.0,,-14753.119999999999,,0.55
P019,2025-05-31 22:40:48.374813,,0.0,187089.96000000002,0.0,,-187089.96000000002,,0.55
P019,2025-06-30 22:40:48.374813,,0.0,1741.04,0.0,,-1741.04,,0.55
P019,2025-07-31 22:40:48.374813,,0.0,23479.5,0.0,,-23479.5,,0.55
P019,2025-08-31 22:40:48.374813,101895.16994690787,106161.23266308922,1084980.08,0.09784625047041344,1.0418671730799818,-978818.8473369109,4266.062716181346,0.49618456224127266
P020,2021-08-31 22:40:50.524289,3486.04774535809,0.0,,,0.0,,-3486.04774535809,0.45
P020,2021-09-30 22:40:50.524289,,0.0,200.0,0.0,,-200.0,,0.55
P020,2021-10-31 22:40:50.524289,6800.0,2040.0,1260.0,1.619047619047619,0.3,780.0,-4760.0,0.315
P020,2021-11-30 22:40:50.524289,3105.365765765766,0.0,,,0.0,,-3105.365765765766,0.45
P020,2021-12-31 22:40:50.524289,,0.0,,,,,,0.0
P020,2022-01-31 22:40:50.524289,,0.0,,,,,,0.0
P020,2022-02-28 22:40:50.524289,,0.0,,,,,,0.0
P020,2022-03-31 22:40:50.524289,,0.0,,,,,,0.0
P020,2022-04-30 22:40:50.524289,,0.0,,,,,,0.0
P020,2022-05-31 22:40:50.524289,,0.0,,,,,,0.0
P020,2022-06-30 22:40:50.524289,,0.0,,,,,,0.0
P020,2022-07-31 22:40:50.524289,,0.0,,,,,,0.0
P020,2022-08-31 22:40:50.524289,,0.0,,,,,,0.0
P020,2022-09-30 22:40:50.524289,,0.0,,,,,,0.0
P020,2022-10-31 22:40:50.524289,,0.0,,,,,,0.0
P020,2022-11-30 22:40:50.524289,,0.0,,,,,,0.0
P020,2022-12-31 22:40:50.524289,,0.0,,,,,,0.0
P020,2023-01-31 22:40:50.524289,15878.148583654327,15617.851065889503,11906.410000000002,1.3117178953092914,0.9836065573770493,3711.4410658895013,-260.2975177648241,0.007377049180327827
P020,2023-02-28 22:40:50.524289,,0.0,,,,,,0.0
P020,2023-03-31 22:40:50.524289,,,,,,,,0.0
P020,2023-04-30 22:40:50.524289,5249.85295018116,0.0,,,0.0,,-5249.85295018116,0.45
P020,2023-05-31 22:40:50.524289,,0.0,,,,,,0.0
P020,2023-06-30 22:40:50.524289,,0.0,,,,,,0.0
P020,2023-07-31 22:40:50.524289,3240.0,0.0,,,0.0,,-3240.0,0.45
P020,2023-08-31 22:40:50.524289,6700.0,3023.589743589744,3721.65,0.8124325886608746,0.45128205128205134,-698.060256410256,-3676.410256410256,0.3500851531595959
P020,2023-09-30 22:40:50.524289,,0.0,,,,,,0.0
P020,2023-10-31 22:40:50.524289,25000.0,0.0,,,0.0,,-25000.0,0.45
P020,2023-11-30 22:40:50.524289,1456.0,1456.0,3029.05,0.480678760667536,1.0,-1573.0500000000002,0.0,0.2856266816328552
P020,2023-12-31 22:40:50.524289,9792.5,1958.5,5412.915000000001,0.3618198327518536,0.2,-3454.415000000001,-7834.0,0.7109990919864806
P020,2024-01-31 22:40:50.524289,,0.0,,,,,,0.0
P020,2024-02-29 22:40:50.524289,2250.0121763130123,0.0,,,0.0,,-2250.0121763130123,0.45
P020,2024-03-31 22:40:50.524289,,0.0,,,,,,0.0
P020,2024-04-30 22:40:50.524289,,0.0,,,,,,0.0
P020,2024-05-31 22:40:50.524289,,0.0,,,,,,0.0
P020,2024-06-30 22:40:50.524289,,0.0,,,,,,0.0
P020,2024-07-31 22:40:50.524289,,0.0,,,,,,0.0
P020,2024-08-31 22:40:50.524289,,0.0,304.0,0.0,,-304.0,,0.55
P020,2024-09-30 22:40:50.524289,,0.0,,,,,,0.0
