project_id,wbs,model_input_num
P018,CPI,0.007188082394495971
P018,SPI,0.43270790436327944
P019,CPI,0.09784625047041344
P019,SPI,1.0418671730799818
P020,CPI,0.8554926232511352
P020,SPI,0.3250753926927035
P021,CPI,0.07591030199840068
P021,SPI,0.499406934961891
P022,CPI,0.11238139064012322
P022,SPI,0.6955592074268103
P024,CPI,0.02286561728440014
P024,SPI,0.8084321721062603
