project_id,alert_type,message
P018,CPI_LOW,CPI < 0.90
P018,SPI_LOW,SPI < 0.90
P019,CPI_LOW,CPI < 0.90
P020,CPI_LOW,CPI < 0.90
P020,SPI_LOW,SPI < 0.90
P021,CPI_LOW,CPI < 0.90
P021,SPI_LOW,SPI < 0.90
P022,CPI_LOW,CPI < 0.90
P022,SPI_LOW,SPI < 0.90
P024,CPI_LOW,CPI < 0.90
P024,SPI_LOW,SPI < 0.90
